Symbol,Company Name,Market Cap,Sector,Price,Change 1D,Volume,PE Ratio
HTBK,Heritage Commerce,672.01M,Financials,11.15,-5.43%,"172,986",14.75
DMRC,Digimarc,671.85M,Information Technology,39.68,-6.99%,"75,984",0.00
NEWT,Newtek Business Services,671.58M,Financials,29.77,-1.29%,"182,956",8.30
KOP,Koppers Holdings,671.57M,Materials,31.52,-3.84%,"60,161",8.47
ENJY,Enjoy Technology,670.94M,Consumer Cyclical,5.63,21.08%,"280,244",0.00
LOOP,Loop Industries,670.62M,Materials,14.22,-0.49%,"41,668",0.00
SIBN,"SI-BONE, Inc.",670.47M,Health Care,20.02,-4.85%,"170,333",0.00
AIRS,AirSculpt Technologies,670.46M,Healthcare,12.05,-14.05%,"521,528",26.68
REAX,Real Brokerage,669.23M,Real Estate,3.75,3.31%,"266,941",0.00
KVSC,Khosla Ventures Acquisition III,668.76M,Blank Check / SPAC,9.87,0.10%,"4,826",0.00
CONN,Conn's,668.38M,Consumer Discretionary,22.67,-3.49%,"240,959",5.85
DBD,Diebold Nixdorf,667.59M,Information Technology,8.52,-4.38%,"953,872",0.00
CRMT,America's Car-Mart,666.97M,Consumer Discretionary,102.03,-3.19%,"41,830",6.51
ARLO,Arlo Technologies,666.81M,Information Technology,7.91,-4.24%,"692,509",0.00
UTL,Unitil,666.41M,Utilities,41.50,-3.06%,"51,788",17.93
TRNS,Transcat,665.41M,Industrials,88.50,-3.80%,"40,914",57.88
ATIP,ATI Physical Therapy,662.93M,Healthcare,3.36,-2.89%,"559,627",0.00
GPMT,Granite Point Mortgage Trust,662.69M,Financials,12.32,-1.99%,"386,443",8.46
PRLD,Prelude Therapeutics,661.02M,Healthcare,14.00,-2.17%,"152,558",0.00
MBI,MBIA Inc.,660.49M,Financials,12.14,-3.73%,"241,427",0.00
SLN,Silence Therapeutics,658.42M,Healthcare,22.00,0.55%,"7,425",0.00
SOHU,Sohu.com,658.38M,Communication Services,16.75,-2.79%,"425,184",0.69
ATNI,ATN International,657.16M,Communication Services,41.53,-4.11%,"32,402",0.00
BLX,Banco Latinoamericano,657.07M,Financials,16.56,-1.66%,"86,863",11.27
TGS,Transportadora de Gas del Sur,655.69M,Energy,4.33,-4.84%,"169,565",9.62
SWIR,Sierra Wireless,655.50M,Information Technology,17.34,-2.36%,"90,087",0.00
LGO,Largo,654.55M,Basic Materials,10.05,-2.05%,"66,541",23.54
CDRE,Cadre Holdings,652.93M,Industrials,19.50,-0.46%,"68,663",15.90
SMLR,Semler Scientific,652.52M,Health Care,96.56,-0.43%,"20,428",37.17
SIFY,Sify Technologies,652.41M,Communication Services,3.58,-1.10%,"158,765",0.42
INKT,MiNK Therapeutics,652.07M,Healthcare,20.01,6.66%,"31,325",0.00
XL,XL Fleet,651.89M,Consumer Cyclical,4.68,-2.90%,"2,462,045",75.48
SPIR,Spire Global,651.76M,Information Technology,4.87,2.96%,"618,590",0.00
SRG,Seritage Growth Properties,649.67M,Real Estate,14.89,-3.00%,"583,446",0.00
OPY,Oppenheimer Holdings,649.42M,Financials,51.30,-4.43%,"68,569",3.89
DMLP,Dorchester Minerals,648.97M,Energy,18.33,-2.34%,"58,108",12.57
HZON,Horizon Acquisition II,645.75M,Blank Check / SPAC,9.84,-,"145,811",0.00
OGI,OrganiGram Holdings,645.37M,Health Care,2.16,-,"5,742,269",0.00
FC,Franklin Covey,645.13M,Industrials,45.15,-3.75%,"50,826",47.03
EOCW,Elliott Opportunity II,643.87M,Blank Check / SPAC,9.83,-0.41%,"8,301",0.00
TREB,Trebia Acquisition,643.64M,Blank Check / SPAC,9.95,0.15%,"5,774",0.00
IKNA,Ikena Oncology,642.79M,Healthcare,15.26,8.07%,"108,078",0.00
OPRT,Oportun Financial,642.70M,Financials,22.64,-2.58%,"59,881",15.90
AURA,Aura Biosciences,642.63M,Healthcare,22.62,13.16%,"84,910",0.00
CATC,Cambridge Bancorp,642.35M,Financials,92.23,-4.33%,"6,900",12.06
REV,Revlon,641.23M,Consumer Staples,11.95,-8.92%,"108,283",0.00
PLSE,Pulse Biosciences,640.67M,Health Care,21.64,-0.28%,"27,991",0.00
KLTR,Kaltura,639.44M,Technology,5.04,-4.91%,"217,474",0.00
AGX,Argan,637.87M,Industrials,40.45,-2.76%,"47,876",15.11
MRC,MRC Global,637.36M,Industrials,7.71,-4.70%,"902,552",0.00
FOSL,Fossil Group,636.70M,Consumer Discretionary,12.21,-4.98%,"601,646",348.86
VRS,Verso,636.46M,Materials,21.90,-1.75%,"115,323",0.00
ADAP,Adaptimmune Therapeutics,635.75M,Health Care,4.07,-4.91%,"321,553",0.00
VYGG,Vy Global Growth,635.32M,Blank Check / SPAC,9.87,-0.10%,"259,048",0.00
RENN,Renren,635.07M,Consumer Discretionary,26.44,-2.62%,"68,185",0.00
SRDX,SurModics,634.92M,Health Care,45.77,-4.35%,"42,206",152.57
AMRX,Amneal Pharmaceuticals,634.83M,Health Care,4.25,-8.01%,"965,600",46.20
CSWC,Capital Southwest,634.41M,Financials,27.18,-0.88%,"101,661",15.62
KRUS,Kura Sushi USA,633.46M,Consumer Discretionary,65.29,-0.31%,"57,388",0.00
WTTR,Select Energy Services,633.24M,Energy,5.80,-3.33%,"364,097",0.00
CTLP,Cantaloupe,633.04M,Technology,8.92,-3.04%,"168,439",0.00
SIGA,SIGA Technologies,632.95M,Health Care,8.54,-3.72%,"327,332",40.28
FSP,Franklin Street Properties,632.74M,Real Estate,5.99,-4.62%,"576,924",12.64
RMO,Romeo Power,632.25M,Consumer Cyclical,4.04,-5.16%,"2,917,226",7.85
BTAI,BioXcel Therapeutics,631.80M,Health Care,22.58,-5.29%,"240,313",0.00
TMDX,TransMedics Group,631.42M,Health Care,21.91,-5.15%,"125,622",0.00
TRST,TrustCo Bank Corp NY,630.84M,Financials,32.66,-4.36%,"53,711",10.66
DHIL,Diamond Hill Investment Group,630.57M,Financials,198.81,-14.02%,"12,921",8.95
ALCC,AltC Acquisition,629.91M,Blank Check / SPAC,9.85,-0.45%,"2,497",0.00
HCKT,Hackett Group,629.81M,Information Technology,21.14,-5.46%,"75,789",27.07
VERA,Vera Therapeutics,629.05M,Healthcare,30.00,13.21%,"45,100",0.00
BZH,Beazer Homes USA,629.02M,Consumer Discretionary,20.10,-3.09%,"304,339",5.02
DX,Dynex Capital,628.82M,Financials,17.15,-0.81%,"855,174",4.34
AMTI,Applied Molecular Transport,628.54M,Health Care,16.33,-14.01%,"386,105",0.00
PHAT,Phathom Pharmaceuticals,626.54M,Health Care,19.80,-4.85%,"78,273",0.00
PSNL,Personalis,626.53M,Health Care,13.99,-3.58%,"461,313",0.00
DSKE,Daseke,624.89M,Industrials,10.00,-5.12%,"368,225",12.67
PGC,Peapack-Gladstone Financial,624.82M,Financials,33.53,-4.58%,"40,494",14.54
SBR,Sabine Royalty Trust,624.14M,Energy,42.81,-1.31%,"61,136",15.21
EM,Smart Share Global,623.59M,Consumer Cyclical,2.50,0.81%,"35,430",0.47
BVH,Bluegreen Vacations,623.09M,Consumer Discretionary,29.83,-7.27%,"81,826",11.12
TROO,TROOPS,621.80M,Information Technology,5.37,-3.76%,"60,259",0.00
PETS,PetMed Express,621.60M,Consumer Discretionary,29.06,2.14%,"344,749",23.45
EGRX,Eagle Pharmaceuticals,621.16M,Health Care,48.10,-4.22%,"62,521",113.18
CFIV,CF Acquisition IV,621.03M,Blank Check / SPAC,9.78,-0.31%,"5,747",0.00
COLL,Collegium Pharmaceutical,620.51M,Health Care,17.95,-3.13%,"219,501",6.67
VERU,Veru Inc.,620.46M,Consumer Staples,7.77,-1.52%,"538,892",0.00
TCS,Container Store Group,619.91M,Consumer Discretionary,12.24,-3.39%,"312,500",6.25
OFIX,Orthofix Medical,619.21M,Health Care,31.36,-4.45%,"65,055",0.00
NVGS,Navigator Holdings,619.08M,Energy,8.03,-6.41%,"199,109",57.36
LEGH,Legacy Housing,619.04M,Consumer Discretionary,25.57,-4.84%,"29,423",13.26
BIOX,Bioceres Crop Solutions,618.21M,Consumer Staples,15.04,0.53%,"59,903",0.00
UPLD,Upland Software,616.94M,Information Technology,20.21,-3.07%,"283,873",0.00
PETQ,"PetIQ, Inc.",616.79M,Health Care,21.17,-4.21%,"339,752",0.00
SKE,Skeena Resources,615.52M,Basic Materials,9.84,-2.67%,"20,393",0.00
CCV,Churchill Capital V,615.00M,Blank Check / SPAC,9.84,-,"21,949",0.00
CLSK,Cleanspark,614.31M,Information Technology,17.26,-4.54%,"1,107,470",0.00
CMAX,CareMax,613.87M,Healthcare,7.05,-2.89%,"72,624",0.00
LCA,Landcadia Holdings IV,613.75M,Blank Check / SPAC,9.82,0.10%,"2,072",0.00
ICLK,iClick Interactive Asia,613.50M,Communication Services,6.50,-3.13%,"211,674",0.00
FULC,Fulcrum Therapeutics,610.66M,Health Care,15.06,-0.99%,"166,258",0.00
MIT,Mason Industrial Technology,610.63M,Blank Check / SPAC,9.76,0.10%,"37,324",0.00
GNK,Genco Shipping &amp; Trading,609.58M,Industrials,14.54,-1.22%,"518,956",24.44
BTBT,Bit Digital,609.04M,Information Technology,8.78,-7.68%,"1,812,145",11.11
FSNB,Fusion Acquisition II,608.75M,Blank Check / SPAC,9.74,-,"3,223",0.00
EHTH,eHealth,608.51M,Financials,23.06,-2.74%,"567,291",0.00
YORW,York Water Company,608.45M,Utilities,46.43,-3.13%,"27,921",36.56
CHUY,Chuy's Holdings,607.92M,Consumer Discretionary,30.70,-5.91%,"100,845",23.76
EPIX,ESSA Pharma,607.86M,Health Care,13.82,1.02%,"140,325",0.00
AMYT,Amryt Pharma,607.38M,Healthcare,9.55,-2.75%,"112,986",0.00
ACQR,Independence Holdings,606.69M,Blank Check / SPAC,9.77,-,"46,874",0.00
RANI,Rani Therapeutics,606.22M,Healthcare,30.75,-2.38%,"17,243",0.00
RUTH,Ruth's Hospitality Group,605.00M,Consumer Discretionary,17.63,-2.54%,"606,318",20.38
GNOG,Golden Nugget Online Gaming,604.95M,Consumer Cyclical,12.99,1.17%,"361,043",0.00
CIR,CIRCOR International,604.90M,Industrials,29.86,-6.95%,"43,171",0.00
VFF,Village Farms International,604.22M,Consumer Staples,7.05,-4.21%,"837,619",0.00
NAUT,Nautilus Biotechnology,603.45M,Healthcare,4.86,0.62%,"224,760",0.00
SEAH,Sports Entertainment Acquisition,603.00M,Blank Check / SPAC,10.72,-3.25%,"886,314",0.00
FMNB,Farmers National Banc,602.55M,Financials,17.77,-3.48%,"104,602",8.75
RMBL,RumbleOn,602.51M,Consumer Discretionary,40.02,-0.50%,"199,854",0.00
BLBD,Blue Bird,602.31M,Industrials,22.14,-3.57%,"42,584",42.91
EVC,Entravision Communications,599.69M,Communication Services,7.02,-6.90%,"850,753",13.35
CASS,Cass Information Systems,598.09M,Information Technology,42.69,-4.30%,"35,134",22.59
RM,Regional Management,596.89M,Financials,60.22,-3.32%,"53,984",7.98
PROG,Progenity,596.05M,Health Care,3.64,-2.93%,"21,108,009",0.00
BLDE,Blade Air Mobility,595.00M,Industrials,8.57,-1.04%,"524,283",0.00
NAKD,Naked Brand Group,591.31M,Consumer Discretionary,0.65,2.51%,"31,522,903",0.00
CLDT,Chatham Lodging Trust,590.58M,Real Estate,12.11,-5.39%,"500,779",0.00
TBPH,Theravance Biopharma,590.32M,Health Care,8.01,-5.21%,"331,841",0.00
TRMD,Torm PLC,590.13M,Energy,7.18,-5.77%,"138,173",0.00
AMTX,Aemetis,589.87M,Energy,17.74,-4.31%,"431,639",0.00
AGCB,Altimeter Growth 2,589.76M,Blank Check / SPAC,10.09,-0.59%,"204,437",0.00
ETD,Ethan Allen Interiors,589.57M,Consumer Cyclical,23.34,-2.26%,"185,806",8.37
BBAR,Banco BBVA Argentina,588.15M,Financials,2.88,-2.04%,"685,341",4.16
RMGC,RMG Acquisition III,588.05M,Blank Check / SPAC,9.75,-0.51%,"1,879",0.00
TKNO,Alpha Teknova,587.69M,Healthcare,20.98,-2.24%,"22,166",0.00
IPOD,Social Capital Hedosophia IV,587.65M,Blank Check / SPAC,10.22,-0.39%,"299,562",0.00
THR,Thermon Group Holdings,587.48M,Industrials,17.62,-3.98%,"99,689",108.77
RICK,RCI Hospitality Holdings,586.61M,Consumer Discretionary,65.18,-4.85%,"58,161",23.33
LGVN,Longeveron,586.24M,Healthcare,30.67,-27.49%,"20,756,122",0.00
SRI,Stoneridge,586.24M,Consumer Discretionary,21.57,-5.02%,"157,193",44.38
NRDY,Nerdy,585.83M,Technology,6.49,4.51%,"448,430",0.00
DMTK,DermTech,585.43M,Health Care,19.70,-3.57%,"310,078",0.00
IMRX,Immuneering,584.70M,Healthcare,22.54,-6.20%,"16,982",0.00
GET,Getnet Adquirencia E Servicos Para Meios De Pagamento,584.69M,Information,1.23,-6.82%,"61,608",1.44
IPI,Intrepid Potash,584.10M,Materials,43.45,-3.79%,"96,951",22.74
NPK,National Presto Industries,583.23M,Industrials,82.87,-2.35%,"21,631",16.08
PNTG,Pennant Group,582.36M,Health Care,20.45,-5.06%,"117,784",70.28
RMNI,Rimini Street,581.49M,Information Technology,6.70,-3.60%,"330,995",0.00
HLG,Hailiang Education Group,581.30M,Consumer Discretionary,22.55,-0.75%,723,15.81
IMXI,International Money Express,581.14M,Information Technology,15.05,-4.08%,"164,701",13.56
RGP,Resources Connection,581.10M,Energy,17.51,-3.10%,"177,496",15.92
ANIP,ANI Pharmaceuticals,581.04M,Health Care,40.77,-3.00%,"147,754",0.00
PYR,Pyrogenesis Canada,578.87M,Industrials,3.45,-1.00%,"109,304",101.47
MOD,Modine Manufacturing,578.69M,Consumer Discretionary,11.16,-5.02%,"254,021",0.00
MNTS,Momentus,577.81M,Industrials,7.53,-0.26%,"370,242",0.00
BGFV,Big 5 Sporting Goods,576.51M,Consumer Discretionary,25.84,0.86%,"889,641",5.62
TPVG,TriplePoint Venture Growth BDC,575.99M,Financials,18.59,-0.38%,"166,727",8.52
TALS,Talaris Therapeutics,575.19M,Healthcare,13.04,-3.26%,"95,138",0.00
TGB,Taseko Mines,575.01M,Materials,2.02,-6.91%,"1,830,985",23.22
ENOB,Enochian Biosciences,573.37M,Health Care,10.98,-,"102,906",0.00
ANIK,Anika Therapeutics,572.42M,Health Care,39.65,-2.27%,"116,423",0.00
OPFI,OppFi,571.82M,Technology,5.20,-0.38%,"386,521",0.90
FCBC,First Community Bancshares,571.60M,Financials,33.59,-6.82%,"36,749",11.31
ZEV,Lightning eMotors,570.41M,Industrials,7.61,-3.06%,"246,350",0.00
CRESY,Cresud SACIF y A.,569.53M,Real Estate,4.49,-2.18%,"206,661",0.00
NYXH,Nyxoah,568.07M,Healthcare,21.85,-27.17%,"2,011",0.00
AMOT,Allied Motion Technologies,568.02M,Industrials,38.24,-4.50%,"25,785",21.79
ACBI,Atlantic Capital Bancshares,567.52M,Financials,27.95,-4.80%,"83,397",11.86
GTPB,Gores Technology Partners II,566.95M,Blank Check / SPAC,9.86,-,123,0.00
AROW,Arrow Financial,566.91M,Financials,35.38,-3.96%,"17,469",10.91
HOV,Hovnanian Enterprises,566.69M,Consumer Discretionary,90.60,-2.58%,"39,284",1.09
TSPQ,TCW Special Purpose Acquisition,566.58M,Blank Check / SPAC,9.77,-,"13,400",0.00
KE,Kimball Electronics,566.28M,Information Technology,22.56,-5.84%,"82,322",13.43
KNOP,KNOT Offshore Partners,565.87M,Energy,16.85,-1.40%,"164,759",9.40
ARBE,Arbe Robotics,565.43M,Technology,9.10,-1.19%,"78,194",0.00
IRS,IRSA Inversiones y Representaciones,564.89M,Real Estate,4.05,-1.70%,"25,345",0.00
ORIC,Oric Pharmaceuticals,564.34M,Healthcare,14.33,-4.47%,"88,039",0.00
RMR,RMR Group,564.28M,Real Estate,34.23,-5.52%,"109,336",14.85
REVH,Revolution Healthcare Acquisition,564.22M,Blank Check / SPAC,9.77,-0.81%,204,0.00
THFF,First Financial Corporation,563.79M,Financials,43.80,-2.67%,"91,162",9.58
AVDL,Avadel Pharmaceuticals,563.34M,Health Care,9.61,-3.32%,"129,581",0.00
ASTS,AST SpaceMobile,563.34M,Communication Services,10.89,-,"680,381",0.00
RDW,Redwire,563.20M,Industrials,9.44,2.61%,"443,429",0.00
VAQC,Vector Acquisition II,563.18M,Blank Check / SPAC,9.82,-0.30%,"6,309",0.00
MCS,Marcus Corporation,562.41M,Communication Services,17.90,-5.89%,"330,873",0.00
BYSI,BeyondSpring,561.30M,Health Care,14.35,8.06%,"1,468,303",0.00
ATRS,Antares Pharma,561.14M,Health Care,3.30,-3.51%,"508,772",8.82
RWAY,Runway Growth Finance,561.12M,Financial Services,13.56,-1.09%,"155,110",11.75
BFST,Business First Bancshares,560.70M,Financials,27.50,-2.96%,"52,488",10.57
GRVY,Gravity,560.43M,Communication Services,80.65,-2.50%,"33,577",8.33
ROCC,Ranger Oil,559.47M,Energy,26.53,-6.78%,"280,588",0.00
GMII,Gores Metropoulos II,559.12M,Blank Check / SPAC,9.94,-0.05%,"6,791",0.00
CPAC,Cementos Pacasmayo,559.11M,Materials,6.53,-1.06%,"5,246",15.19
MYPS,PLAYSTUDIOS,558.22M,Communication Services,4.43,-3.90%,"478,533",0.00
EQBK,Equity Bancshares,557.94M,Financials,33.11,-4.33%,"33,121",8.94
BMRC,Bank of Marin Bancorp,557.58M,Financials,34.82,-5.66%,"33,972",15.21
GAIN,Gladstone Investment,557.51M,Financials,16.79,-1.35%,"156,941",5.02
KIND,Nextdoor,556.01M,Financial Services,11.64,5.43%,"614,382",0.00
RBNC,Reliant Bancorp,555.65M,Financials,33.52,-6.37%,"26,686",11.11
GRPH,Graphite Bio,555.24M,Healthcare,9.56,-4.88%,"76,371",0.00
HVT,Haverty Furniture,555.23M,Consumer Discretionary,31.23,-3.04%,"162,621",6.36
BBSI,Barrett Business Services,555.21M,Industrials,73.98,-3.00%,"41,345",16.37
GTHX,G1 Therapeutics,552.79M,Health Care,13.00,-4.83%,"770,780",0.00
IVA,Inventiva,549.37M,Healthcare,13.38,-0.32%,"1,240",0.00
KPTI,Karyopharm Therapeutics,549.23M,Health Care,7.27,-5.58%,"1,276,085",0.00
LXFR,Luxfer Holdings,548.83M,Industrials,19.81,-3.88%,"90,671",14.97
VAPO,Vapotherm,547.52M,Health Care,21.00,-,"97,028",0.00
HMPT,Home Point Capital,545.55M,Financial Services,3.91,-4.40%,"76,230",1.66
EGLE,Eagle Bulk Shipping,544.05M,Industrials,40.03,-0.82%,"152,614",5.80
DXPE,DXP Enterprises,543.94M,Industrials,29.29,-2.50%,"52,854",0.00
ISO,IsoPlexis,543.82M,Healthcare,14.00,6.71%,"79,975",0.00
PRPC,CC Neuberger Principal Holdings III,543.72M,Blank Check / SPAC,9.83,-,0,0.00
YTPG,TPG Pace Beneficial II,543.33M,Blank Check / SPAC,10.00,-,"10,000",0.00
FRPH,FRP Holdings,543.20M,Real Estate,57.72,-6.30%,"3,614",17.90
AMAL,Amalgamated Financial,543.00M,Financials,17.11,-5.94%,"31,221",10.63
DJCO,Daily Journal,542.63M,Communication Services,393.00,-0.51%,"5,137",3.71
RDBX,Redbox Entertainment,542.53M,Financial Services,11.95,-1.48%,"196,023",0.00
XPDI,Power &amp; Digital Infrastructure Acquisition,542.51M,Blank Check / SPAC,12.58,-2.10%,"824,142",0.00
HAAC,Health Assurance Acquisition,541.88M,Blank Check / SPAC,9.83,0.20%,"62,107",0.00
RPID,Rapid Micro Biosystems,540.23M,Communication Services,13.15,-6.21%,"70,448",0.00
DTIL,Precision BioSciences,540.22M,Health Care,8.89,-6.72%,"459,244",0.00
WDH,Waterdrop,539.95M,Financial Services,1.37,-1.44%,"301,964",0.00
EGLX,Enthusiast Gaming,539.76M,Communication Services,4.17,-3.02%,"631,040",0.00
ULH,Universal Logistics Holdings,539.66M,Industrials,19.41,-5.36%,"14,910",7.08
UFCS,United Fire Group,537.73M,Financials,21.44,-4.20%,"80,645",38.49
NKTX,Nkarta,537.73M,Healthcare,16.32,-7.11%,"159,660",0.00
HAYN,Haynes International,536.99M,Materials,42.32,-3.86%,"32,248",0.00
FPI,Farmland Partners,536.80M,Real Estate,11.85,-2.79%,"311,941",0.00
BFC,Bank First,536.54M,Financials,70.33,-3.06%,"7,087",11.84
DGNU,Dragoneer Growth Opportunities III,536.19M,Blank Check / SPAC,9.96,-0.40%,721,0.00
ATOM,Atomera,535.64M,Information Technology,23.13,-4.10%,"250,802",0.00
MBWM,Mercantile Bank,535.31M,Financials,34.16,-6.23%,"39,740",8.97
MSBI,Midland States Bancorp,535.22M,Financials,24.31,-3.84%,"95,522",8.34
MGI,MoneyGram International,534.54M,Information Technology,5.83,-5.20%,"1,867,882",0.00
ITRN,Ituran Location &amp; Control,534.15M,Information Technology,25.82,-1.53%,"14,815",16.06
PHAR,Pharming Group,534.06M,Healthcare,8.36,-2.45%,"6,839",27.87
CCB,Coastal Financial,533.70M,Financials,44.43,-6.68%,"28,031",22.66
DCRC,Decarbonization Plus Acquisition III,533.31M,Blank Check / SPAC,12.19,-3.56%,"2,252,260",0.00
DSPG,DSP Group,532.82M,Information Technology,21.97,-,"103,768",0.00
METC,Ramaco Resources,531.96M,Materials,12.06,-4.13%,"178,584",32.51
XLO,Xilio Therapeutics,530.99M,Healthcare,19.91,-2.16%,"94,530",0.00
EDN,Empresa Distribuidora y Comercializadora Norte,530.25M,Utilities,5.60,0.90%,"6,451",0.00
ALRS,Alerus Financial,530.01M,Financials,30.80,-6.38%,"23,683",10.85
HBT,HBT Financial,528.80M,Financials,18.20,-4.46%,"11,611",9.03
BRDG,Bridge Investment Group,527.87M,Real Estate,20.95,-0.62%,"62,285",1.69
MCFT,MasterCraft Boat Holdings,527.83M,Consumer Discretionary,27.86,-2.55%,"179,259",9.29
ECC,Eagle Point Credit,527.38M,,15.10,-0.98%,"292,229",0.00
LVLU,Lulu's Fashion Lounge,526.61M,Consumer Cyclical,14.16,-,"117,144",164.88
REX,REX American Resources,526.58M,Energy,88.19,-5.00%,"16,360",19.00
ANNX,Annexon,525.73M,Healthcare,13.70,-6.29%,"143,134",0.00
PV,Primavera Capital Acquisition,524.60M,Blank Check / SPAC,9.76,0.10%,"3,062",0.00
QIWI,Qiwi PLC,522.40M,Information Technology,8.33,-2.00%,"347,633",3.81
WLDN,Willdan Group,522.29M,Industrials,40.83,-3.18%,"31,042",0.00
PLRX,Pliant Therapeutics,522.21M,Healthcare,14.49,-3.53%,"109,867",0.00
UFPT,UFP Technologies,522.08M,Materials,69.32,-6.34%,"12,106",31.24
IRMD,IRadimed,521.93M,Health Care,42.29,-1.65%,"85,781",88.10
VEC,Vectrus,521.90M,Industrials,44.50,-2.94%,"54,205",9.58
CYT,Cyteir Therapeutics,521.37M,Healthcare,14.74,-6.83%,"25,629",0.00
WTBA,West Bancorporation,520.98M,Financials,31.47,-6.26%,"23,715",11.35
WSBF,Waterstone Financial,520.71M,Financials,20.89,-2.70%,"79,029",5.82
ATHA,Athira Pharma,520.67M,Healthcare,13.94,-3.60%,"419,587",0.00
ANZU,Anzu Special Acquisition I,520.09M,Blank Check / SPAC,9.79,-,"1,131",0.00
DCO,Ducommun,519.73M,Industrials,43.59,-7.20%,"34,935",15.43
EOSE,Eos Energy Enterprises,519.27M,Industrials,9.67,-0.31%,"539,308",0.00
CCAP,Crescent Capital BDC,518.00M,Financial Services,18.39,0.49%,"42,067",9.31
APPH,AppHarvest,517.59M,Consumer Defensive,5.14,-4.28%,"1,218,644",0.00
TARS,Tarsus Pharmaceuticals,516.92M,Healthcare,25.00,-9.75%,"40,978",0.00
TBCP,Thunder Bridge Capital Partners III,515.92M,Blank Check / SPAC,9.78,-0.61%,"7,991",0.00
MOTV,Motive Capital,515.43M,Blank Check / SPAC,9.95,0.20%,"21,080",0.00
SXC,SunCoke Energy,513.44M,Materials,6.18,-4.48%,"518,711",19.94
RMAX,RE/MAX Holdings,513.27M,Real Estate,27.17,-4.50%,"93,349",45.90
DCRN,Decarbonization Plus Acquisition II,512.68M,Blank Check / SPAC,10.19,-0.39%,"381,904",0.00
CMRX,Chimerix,512.49M,Health Care,5.90,-5.30%,"589,000",0.00
OWLT,Owlet,511.89M,Healthcare,4.54,5.09%,"226,699",0.00
PRQR,ProQR Therapeutics,511.60M,Health Care,7.19,-2.31%,"183,992",0.00
DIBS,1stdibs.com,511.32M,Consumer Cyclical,13.50,-2.53%,"220,550",0.00
FMAC,FirstMark Horizon Acquisition,511.29M,Blank Check / SPAC,9.88,-,"48,231",0.00
PWP,Perella Weinberg Partners,510.76M,Financial Services,12.02,-2.99%,"142,245",0.00
SOL,ReneSola,509.72M,Industrials,7.03,-3.30%,"589,968",29.54
CTAQ,Carney Technology Acquisition II,509.66M,Blank Check / SPAC,9.78,-0.20%,"5,187",0.00
EQD,Equity Distribution Acquisition,508.81M,Blank Check / SPAC,9.83,-0.20%,"4,841",0.00
FSBC,Five Star Bancorp,508.45M,Financial Services,29.52,-0.54%,"52,550",9.80
TCVA,TCV Acquisition,506.91M,Blank Check / SPAC,9.92,-0.80%,550,0.00
SNRH,Senior Connect Acquisition I,506.63M,Blank Check / SPAC,9.79,-0.20%,"2,600",0.00
PFLT,PennantPark Floating Rate Capital,506.36M,Financials,13.06,-0.53%,"222,284",7.29
FINM,Marlin Technology,505.60M,Blank Check / SPAC,9.77,-,"124,402",0.00
HHLA,HH&amp;L Acquisition,505.60M,Blank Check / SPAC,9.77,0.31%,"228,298",0.00
ICPT,Intercept Pharmaceuticals,505.25M,Health Care,17.10,-3.66%,"532,764",0.00
FHTX,Foghorn Therapeutics,504.82M,Healthcare,13.61,-4.22%,"96,770",0.00
IIAC,Investindustrial Acquisition,504.63M,Blank Check / SPAC,10.03,0.20%,"25,441",0.00
CO,Global Cord Blood,504.44M,Health Care,4.15,-2.35%,"95,032",6.30
SMMT,Summit Therapeutics,504.21M,Health Care,5.16,-4.97%,"53,112",0.00
OHPA,Orion Acquisition,504.05M,Blank Check / SPAC,9.74,-0.41%,"259,212",0.00
AGAC,African Gold Acquisition,504.05M,Blank Check / SPAC,9.74,-,"35,118",0.00
JOFF,JOFF Fintech Acquisition,504.05M,Blank Check / SPAC,9.74,-0.20%,"4,300",0.00
WTI,W&amp;T Offshore,503.98M,Energy,3.54,-4.58%,"2,070,491",0.00
CANG,Cango Inc.,503.54M,Consumer Discretionary,3.45,-5.48%,"354,644",0.92
MOFG,MidWestOne Financial Group,503.24M,Financials,32.07,-3.92%,"37,540",7.13
ITMR,Itamar Medical,503.14M,Health Care,30.64,0.07%,"103,659",0.00
EBF,"Ennis, Inc.",503.10M,Industrials,19.26,-2.33%,"69,429",17.75
LPG,Dorian LPG,502.16M,Energy,12.51,-4.28%,"340,890",5.61
DXLG,Destination XL Group,502.04M,Consumer Discretionary,7.90,-1.13%,"290,090",22.38
OCUL,Ocular Therapeutix,501.03M,Health Care,6.54,-4.94%,"562,465",0.00
EPHY,Epiphany Technology Acquisition,500.39M,Blank Check / SPAC,9.79,0.10%,"3,374",0.00
MRSN,Mersana Therapeutics,499.79M,Health Care,6.95,-10.55%,"510,023",0.00
PACX,Pioneer Merger,499.60M,Blank Check / SPAC,9.94,-0.30%,"80,362",0.00
RSVR,Reservoir Media,499.10M,Communication Services,7.79,-0.76%,"53,807",6.59
TLYS,Tilly's,498.41M,Consumer Discretionary,16.10,-3.30%,"216,451",11.48
PDOT,Peridot Acquisition II,497.80M,Blank Check / SPAC,9.75,-0.24%,"1,219",0.00
TRC,Tejon Ranch,496.88M,Real Estate,18.85,-4.46%,"57,873",269.29
APYX,Apyx Medical,496.55M,Health Care,14.46,-8.65%,"85,024",0.00
MBAC,M3-Brigade Acquisition II,496.05M,Blank Check / SPAC,9.94,-0.09%,222,0.00
