Symbol,Company Name,Market Cap,Sector,Price,Change 1D,Volume,PE Ratio
ENB,Enbridge,79.21B,Energy,38.99,-2.28%,"4,821,542",17.32
F,Ford Motor,78.93B,Consumer Discretionary,19.75,-2.47%,"49,384,489",27.70
CSX,CSX Corporation,78.89B,Industrials,35.57,-1.88%,"11,315,299",22.39
BTI,British American Tobacco,78.66B,Consumer Staples,34.28,-0.90%,"3,869,693",9.46
UBER,Uber Technologies,78.61B,Industrials,40.52,-3.71%,"35,441,554",0.00
BNS,Bank of Nova Scotia,78.41B,Financials,64.27,-2.24%,"1,389,314",11.25
NTES,NetEase,77.87B,Communication Services,114.33,0.60%,"1,924,761",40.83
DUK,Duke Energy,76.38B,Utilities,99.28,-0.90%,"1,798,460",25.39
ITW,Illinois Tool Works,73.68B,Industrials,234.75,-2.90%,"1,057,873",27.30
ICE,Intercontinental Exchange,73.06B,Financials,129.68,-1.96%,"1,539,130",23.92
HCA,HCA Healthcare,71.85B,Health Care,231.00,-3.69%,"1,275,450",11.83
EQIX,Equinix,71.48B,Real Estate,793.84,-0.47%,"325,301",167.37
MCO,Moody's,71.40B,Financials,384.09,-2.15%,"343,170",34.41
RBLX,Roblox,70.99B,Communication Services,122.65,-1.27%,"11,280,121",0.00
BDX,"Becton, Dickinson",70.39B,Health Care,245.09,0.26%,"1,133,115",35.78
BMO,Bank of Montreal,69.76B,Financials,107.64,-2.77%,"515,125",12.63
MUFG,Mitsubishi UFJ Financial,69.26B,Financials,5.38,-3.58%,"1,204,534",5.32
REGN,Regeneron Pharmaceuticals,69.19B,Health Care,643.35,-0.75%,"575,391",10.29
WDAY,Workday,68.83B,Information Technology,277.55,-0.12%,"1,516,832",0.00
WM,Waste Management,68.76B,Industrials,163.47,-1.36%,"1,120,533",39.68
SNP,China Petroleum &amp; Chemical,68.42B,Energy,45.07,-5.55%,"200,676",5.01
PBR.A,Petroleo Brasileiro,68.39B,Energy,10.20,1.09%,"12,497,753",2.71
EW,Edwards Lifesciences,68.38B,Health Care,109.52,-4.34%,"2,248,240",47.11
PBR,Petroleo Brasileiro,68.29B,Energy,10.47,-0.10%,"30,235,683",2.78
ABB,ABB Ltd.,68.14B,Industrials,34.19,-2.79%,"1,080,295",38.24
CI,Cigna,66.96B,Health Care,202.03,-4.06%,"1,898,811",8.41
ETN,Eaton,66.77B,Industrials,167.51,-2.01%,"1,120,623",32.51
FIS,Fidelity National Information Services,65.77B,Information Technology,108.01,-1.68%,"2,392,769",300.03
SO,The Southern Company,65.75B,Utilities,62.04,-1.68%,"2,343,174",22.15
APD,Air Products &amp; Chemicals,65.71B,Materials,293.64,-1.41%,"619,577",31.12
NIO,NIO Inc.,65.69B,Consumer Discretionary,39.99,-3.45%,"30,426,804",0.00
NSC,Norfolk Southern,65.62B,Industrials,269.65,-2.93%,"851,681",23.21
IBN,ICICI Bank,65.45B,Financials,18.82,-4.90%,"6,967,109",23.29
ZM,Zoom Video Communications,65.43B,Information Technology,220.21,5.72%,"10,801,224",66.47
RACE,Ferrari,65.21B,Consumer Discretionary,262.71,-2.09%,"273,725",48.66
CL,Colgate-Palmolive,64.95B,Consumer Staples,77.06,-0.90%,"2,439,878",24.54
FISV,Fiserv,64.87B,Information Technology,98.25,-1.07%,"3,720,054",50.91
ECL,Ecolab,64.83B,Materials,226.23,-2.21%,"730,245",57.85
AON,Aon plc,64.80B,Financials,294.11,-1.54%,"881,871",73.29
DASH,DoorDash,64.47B,Consumer Discretionary,187.92,1.62%,"3,073,835",0.00
NET,Cloudflare,64.39B,Information Technology,200.12,1.38%,"2,247,709",0.00
COF,Capital One Financial,63.49B,Financials,149.16,-4.30%,"2,939,656",5.58
FDX,FedEx,63.26B,Industrials,238.15,-2.23%,"1,774,990",12.64
MELI,MercadoLibre,62.25B,Consumer Discretionary,"1,258.71",-1.12%,"464,089",797.66
VALE,Vale S.A.,62.01B,Materials,12.37,-2.68%,"23,462,608",3.62
LULU,Lululemon Athletica,61.65B,Consumer Discretionary,456.58,-0.28%,"418,512",72.26
KLAC,KLA Corporation,60.49B,Information Technology,398.96,-3.47%,"747,107",22.65
D,Dominion Energy,59.67B,Utilities,73.67,-1.64%,"2,012,886",23.23
RELX,Relx PLC,59.57B,Industrials,30.79,-1.54%,"384,331",33.18
MRVL,Marvell Technology,59.29B,Information Technology,71.99,-2.53%,"4,527,388",0.00
UBS,UBS Group,58.78B,Financials,17.06,-3.45%,"1,317,792",8.07
TRI,Thomson Reuters,58.46B,Industrials,120.06,-1.46%,"203,680",9.29
ILMN,Illumina,57.80B,Health Care,369.79,1.16%,"646,271",60.53
DXCM,DexCom,57.37B,Health Care,591.96,-1.11%,"366,095",111.65
PSA,Public Storage,57.34B,Real Estate,327.02,-2.40%,"368,564",39.07
DDOG,Datadog,56.55B,Information Technology,181.25,0.50%,"1,564,063",0.00
NXPI,NXP Semiconductors,56.50B,Information Technology,212.45,-3.88%,"1,766,046",38.04
ADSK,Autodesk,55.88B,Information Technology,254.17,-1.06%,"2,180,463",42.95
AMX,America Movil,55.86B,Communication Services,17.07,-2.62%,"966,557",11.85
NOC,Northrop Grumman,55.69B,Industrials,353.98,-2.04%,"524,055",12.49
STLA,Stellantis,55.60B,Consumer Discretionary,17.75,-5.48%,"2,129,078",3.87
XLNX,Xilinx,55.51B,Information Technology,223.95,-2.65%,"1,533,163",69.57
BIDU,"Baidu, Inc",55.44B,Communication Services,153.06,1.10%,"3,265,529",7.75
PGR,Progressive,55.34B,Financials,94.59,-1.10%,"1,817,402",13.75
AMOV,America Movil,55.31B,Communication Services,16.90,-3.06%,"3,082",11.74
WBK,Westpac Banking,55.29B,Financials,14.90,-4.85%,"127,012",14.87
SAN,Banco Santander,55.16B,Financials,3.20,-5.88%,"6,276,787",9.61
HUM,Humana,55.08B,Health Care,428.49,-1.77%,"650,873",20.89
BSX,Boston Scientific,54.96B,Health Care,38.57,-5.23%,"9,260,165",50.16
FCX,Freeport-McMoRan,54.69B,Materials,37.24,-3.65%,"21,120,261",14.10
JCI,Johnson Controls,54.53B,Industrials,77.42,-1.86%,"1,884,336",34.08
